new_twitter_id	old_twitter_id	original_twitter_id	original_user_id
1	910	616685354402336768	120234291
3	1487	616006971783815169	318667006
4	2652	614534332221378560	215491063
6	2301	617557957174169600	287016103
7	20400	617299922975633408	143311631
8	20608	618939905893216256	566898139
9	274	593471530291572736	361639486
10	1352	614595645144338432	3242880618
11	10577	618830560442613761	1378240352
12	10295	618767459575836672	53156275
14	2430	593009319265701888	445412046
3149	1706	588474052211318785	75946288
15	1913	614408564694740992	378815402
16	10257	618551826929946624	408752680
17	11046	617383444381859840	1900908690
18	804	615450610691784704	167282831
19	11232	619579635718860800	2841993261
20	2604	614397669197369344	2159643042
21	10351	619048292530421760	310295474
22	20638	619141353079996416	1208304842
23	2491	593437636884201472	35046000
24	2441	593067098232004608	276895252
26	10991	616695633370443776	3241958463
27	20177	615624522541076481	794276665
28	2788	615607315710935040	3133025402
29	10899	619135360266829824	2714514184
30	2823	615728213726203904	63291287
31	2263	617050464580861952	614730516
1730	954	617956001543655424	1494592956
199	2677	614596192400314369	400043405
2865	20289	616368910946820096	1170778068
2058	10453	617883848337022976	572388577
35	20150	615342184116523008	2811712112
36	2173	616356994019119105	395484842
2720	10913	619203785123098624	2174118859
37	114	588435520264523776	249782044
38	20553	618574498464448512	3311276608
2173	2769	615513942681616384	1891202089
2302	20113	614948062989959168	539281570
42	2683	614609745295613952	18111483
43	400	614932512972869632	15335491
44	11169	618833820159119360	137140274
45	2585	614206732265496576	1046114347
46	791	615355560175628288	2170765645
47	10800	618541153646870528	263977418
48	868	615701461146714112	531598198
49	10321	618859211846500352	611937922
50	1965	614595737800843264	232865000
2870	20070	614606168795672576	593990249
52	10953	619613835809329152	1390872433
53	564	616540976186806272	3331584491
54	661	614421690001567744	205314540
55	10572	618820040448610304	3038116383
57	62	592734959363858436	1004978347
58	1505	616102810262704128	2333881903
59	11092	618094671181578240	299764235
60	37	588689780747214849	545947659
61	11242	619795525194371072	252270001
62	109	588402323078172672	45849604
63	10136	618658963513438208	28424279
64	1121	592691737224683521	2364629671
1909	10056	617814297163497474	456636692
65	10778	618488532814966784	887569722
66	20060	614512390344867840	843683052
67	10092	618234487168729088	46870227
68	20090	614822732346200064	1428473052
69	1	593139259495690240	89090775
70	10535	618567155689369600	3248746786
1733	10085	618121061901533184	27761892
1249	2577	614183576934981632	230899742
73	2211	616683980855844864	420013806
75	1080	592536158589988864	2756873076
76	20087	614820814160920578	26218305
77	1164	592866525784190976	495199212
78	1901	614278099115601920	841704092
2301	10034	617663693430628353	115090735
79	1972	614614551833657344	17044839
80	655	614389280278974464	52436759
81	2620	614452462695546881	1666246904
82	2472	593265278928093185	1900908690
84	11235	619606722412281856	274582904
85	341	614509955178041344	2259483181
86	749	615053893660053504	167282831
87	20088	614821673003544576	33014006
88	10861	618880652767670272	2188828022
89	1001	618317301167685632	305567341
90	2674	614569317716348930	2970133133
91	10582	618876123204730881	3353633032
92	20314	616439587834097665	167887227
93	2195	616563638032289792	211956557
94	20299	616406568855306241	23135963
95	10195	619489875033636864	2578857973
96	2870	616219300764893185	7846072
97	20614	618944962512703488	121521978
98	1319	614331793454469120	2919308995
2380	11105	618207458050224128	256982070
99	602	617001556282593280	223185716
2638	20246	616085981599371264	2214897295
100	2527	614147691203940352	176187991
101	20123	614999941300264961	3110905846
2312	20021	614220045296668676	23807763
103	10285	618729327904096256	1174456664
2313	10442	617850109137543168	1367955956
74	2172	616341055328227328	20004501
106	560	616489688723947520	253791853
107	10370	619467882238484480	382153540
108	10628	619264433240584193	189028749
2878	20473	617881935755415552	177584156
3453	10677	617704962345168896	1639395961
110	10326	618877912582782976	87693992
111	2866	616190105435439105	55143
112	20276	616292557274914816	86104643
113	539	616274779167797248	2966783441
114	684	614547781986824192	69237755
115	20032	614278352745070592	544714368
116	20244	616079020208164864	1363083624
117	2549	614157168137359360	15907183
118	2106	616006247121186816	2739638030
1742	279	614110285641723905	893412883
120	381	614794387592216577	384341065
121	2913	616517259943636992	569175899
122	2681	614607856432738304	481610990
124	20063	614518868715769856	26308591
1170	11204	619213837028491264	28212338
126	2273	617154005131661313	24413950
127	10753	618232071492907008	519728191
128	919	616793541705113600	2817246450
847	2579	614187812343152640	333096539
130	10561	618711451780448256	273641006
131	121	588486414314172416	448888098
2348	10770	618408457364836352	30876286
2882	665	614440657835261952	3240304124
881	417	615111219318423552	141121573
134	1102	592594960521629697	88875512
867	1379	614890822396284928	3257153431
136	2404	592793654256869378	14659577
137	11172	618845339643064320	560452828
138	20243	616077071383707648	96666026
139	859	615655449388433408	25963806
140	11045	617382745036165120	2519041406
141	10891	619033641839161344	74968200
142	2598	614279270022705152	2519041406
1917	2818	615665543580921856	296285008
144	445	615396580892368896	92468768
145	10923	619276339414085632	2934103794
146	2100	615987334924742656	15800697
147	10574	618824942797373440	3224829778
149	11094	618103238164905984	275845347
150	20212	615771155199201280	56838981
969	2511	593489076965253120	2764409537
152	2717	614899006431301632	1093161157
976	1942	614525205084372992	203650771
154	1332	614445865055338496	239281295
1174	20365	616908814458179584	753498337
157	10229	618363605172514817	2483966217
158	10423	617594114234716160	1877566596
1175	997	618292659971424256	47179510
160	20209	615745320274669568	1100327552
161	11052	617390361133064192	53537850
787	436	615325099202228224	2424692306
162	20335	616653964445097984	802659122
163	11190	619027117133705216	403907893
164	2438	593048796285771776	1125492462
2580	789	615346722714308608	106790430
165	10073	617993207826132992	26350601
166	1632	616946580801716225	3303389147
167	50	593472611465703424	37792953
168	10692	617760048421433344	3299793525
169	2774	615536040141586432	1528659481
170	10193	619432339270201344	1428039019
171	823	615534759310151681	2482232082
172	171	592718926141874177	536563145
173	2011	614937080888623104	1566785113
174	20584	618829300406423552	577309341
3153	834	615554313415467008	199879420
426	2485	593416560858910720	332003842
176	170	592713655772422145	2967391505
177	1053	588553651154653184	3015895638
2325	1390	615032975047196673	3346946283
